Vila		42.53176	1.56654	AD	1418
Soldeu		42.57688	1.66769	AD	602
Sispony		42.53368	1.51613	AD	833
El Tarter		42.57952	1.65362	AD	1003
Sant Julià de Lòria	Sant Julia de Loria	42.46372	1.49129	AD	8022
Santa Coloma		42.49454	1.49897	AD	3236
Pas de la Casa		42.54277	1.73361	AD	2996
Ordino		42.55623	1.53319	AD	3066
les Escaldes		42.50729	1.53414	AD	15853
Les Bons		42.53873	1.58649	AD	1171
la Massana		42.54499	1.51483	AD	7211
l'Aldosa		42.54391	1.52289	AD	594
La Cortinada		42.57423	1.51845	AD	931
Erts		42.56218	1.4968	AD	556
Encamp		42.53474	1.58014	AD	11223
Canillo		42.5676	1.59756	AD	3292
Arinsal		42.57205	1.48453	AD	1419
Anyós	Anyos	42.53465	1.5251	AD	1006
Andorra la Vella		42.50779	1.52109	AD	20430
Aixirivall		42.46245	1.50209	AD	1041
Warīsān	Warisan	25.16744	55.40708	AE	108759
Umm Suqaym		25.15491	55.21015	AE	16459
Umm Al Quwain City		25.56473	55.55517	AE	59098
Ţarīf Kalbā	Tarif Kalba	25.0695	56.33115	AE	51000
Ar Rāshidīyah	Ar Rashidiyah	25.22499	55.38947	AE	38425
Ras Al Khaimah		25.78953	55.9432	AE	351943
Muzayri‘	Muzayri'	23.14355	53.7881	AE	10000
Murbaḩ	Murbah	25.27623	56.36256	AE	2000
Maşfūţ	Masfut	24.81089	56.10657	AE	8988
Zayed City		23.65416	53.70522	AE	63482
Khawr Fakkān	Khawr Fakkan	25.33132	56.34199	AE	40677
Kalbā	Kalba	25.0513	56.35422	AE	37545
Jumayrā	Jumayra	25.20795	55.24969	AE	39080
Al Jazīrah al Ḩamrā’	Al Jazirah al Hamra'	25.7091	55.80772	AE	10190
Dubai		25.07725	55.30927	AE	3790000
Dibba Al-Fujairah		25.59246	56.26176	AE	30000
Dibba Al-Hisn		25.61955	56.27291	AE	26395
Dayrah		25.27143	55.30207	AE	400000
Sharjah		25.3342	55.41221	AE	1800000
Ash Sha‘m	Ash Sha'm	26.0279	56.08352	AE	1550
Ar Ruways		24.11028	52.73056	AE	25000
Ar Rams		25.87658	56.01862	AE	13000
Al Manāmah	Al Manamah	25.3299	56.02188	AE	5823
Al Ḩamrīyah	Al Hamriyah	25.47819	55.53377	AE	3297
Ḩattā	Hatta	24.80073	56.12726	AE	15324
Fujairah		25.11641	56.34141	AE	118933
Al Ain City		24.19167	55.76056	AE	846747
Ajman		25.40177	55.47878	AE	490035
Adh Dhayd		25.28812	55.88157	AE	20165
Abu Dhabi		24.45118	54.39696	AE	1807000
Abū Hayl	Abu Hayl	25.28413	55.33153	AE	18043
As Saţwah	As Satwah	25.22192	55.27459	AE	40997
Margham		24.89952	55.62545	AE	1280
Abū Mūsá	Abu Musa	25.86698	55.02363	AE	4213
Nadd al Ḩumr	Nadd al Humr	25.20131	55.38388	AE	13589
Al Lusaylī	Al Lusayli	24.93138	55.47531	AE	2514
Suwayḩān	Suwayhan	24.46235	55.33715	AE	5403
Al Ḩamīdīyah	Al Hamidiyah	25.40001	55.52925	AE	27000
Al Waheda		25.29173	55.33822	AE	21608
Al Twar First		25.27148	55.36165	AE	12114
AL Twar Second		25.26309	55.38028	AE	5068
Al Qusais Second		25.27148	55.38603	AE	12851
Al Karama		25.24004	55.30106	AE	75560
Al Hudaiba		25.24151	55.27805	AE	7699
Al Wasl		25.19881	55.25565	AE	22153
Knowledge Village		25.10223	55.16433	AE	15000
The Palm Jumeirah		25.11607	55.13506	AE	25500
Za'abeel		25.22536	55.305	AE	5283
Oud Metha		25.23685	55.31419	AE	8321
Bur Dubai		25.26038	55.29891	AE	18698
Khalifah A City		24.42588	54.605	AE	85374
Shakhbout City		24.36727	54.63721	AE	6515
Mirdif		25.22443	55.41412	AE	60288
Hawr al ‘Anz	Hawr al 'Anz	25.27744	55.33675	AE	84661
Mankhūl	Mankhul	25.24612	55.29222	AE	41244
Būr Sa‘īd	Bur Sa'id	25.261	55.33016	AE	11142
Nāyf	Nayf	25.27139	55.30323	AE	53075
Al Murar al Qadīm	Al Murar al Qadim	25.27576	55.30738	AE	19831
Ar Riqqah		25.26797	55.31272	AE	8222
Al Warqaa		25.19272	55.42013	AE	59111
International City		25.16383	55.40987	AE	120000
Dubai Marina		25.08525	55.14646	AE	120000
Dubai Sports City		25.03878	55.21725	AE	15000
Dubai Internet City		25.09538	55.16171	AE	24000
Al Sufouh		25.12015	55.18285	AE	3337
Al Safa		25.17047	55.23336	AE	15672
Ar Rumaylah		25.40338	55.4334	AE	86000
Mushayrif		25.40977	55.47106	AE	6539
Al Jurf		25.41814	55.50791	AE	18000
Al Majaz		25.32354	55.38774	AE	116503
As Saţwah Sharq	As Satwah Sharq	25.23796	55.28678	AE	11619
Dubai Festival City		25.22177	55.35733	AE	77000
Dubai International Financial Centre		25.2106	55.27787	AE	36000
Downtown Dubai		25.19408	55.2781	AE	13201
Dubai Investments Park		25.00827	55.15682	AE	160000
Jebel Ali		25.00255	55.10811	AE	210000
Bani Yas City		24.30978	54.62944	AE	80498
Musaffah		24.35893	54.48267	AE	243341
Al Shamkhah City		24.39268	54.70779	AE	61710
Reef Al Fujairah City		25.14479	56.24764	AE	82310
Al Wiqan		23.75355	55.32739	AE	2000
Al'Arad		23.8472	55.52719	AE	1000
Al Araad		23.86471	55.52341	AE	1000
Al Faqaa		24.71242	55.67048	AE	2291
Sha'biyyat Al Hiyar		24.58242	55.7467	AE	7610
Sha'biyyat Milе̄hah	Sha'biyyat Milehah	25.13518	55.8843	AE	4768
Umm Al Sheif		25.13227	55.20567	AE	6263
Al Bada'a		25.22462	55.26888	AE	18816
Al Muteena		25.27375	55.32265	AE	48739
Al Mizhar First		25.24805	55.44128	AE	17498
Al Mizhar Second		25.24332	55.4619	AE	11967
Dubai Silicon Oasis		25.11985	55.38718	AE	90000
Dubai Motor City		25.04593	55.24102	AE	8561
DAMAC Hills		25.02924	55.25277	AE	8000
Al Furjan		25.02651	55.14565	AE	26000
Business Bay		25.18544	55.26969	AE	191000
Al Qusais 1		25.27925	55.36995	AE	48378
Al Twar 3		25.25159	55.39408	AE	11185
Al Khabaisi		25.26628	55.33379	AE	6737
Al Khawaneej 1		25.24882	55.48545	AE	12241
Halwan		25.34586	55.42165	AE	19389
Al Sajaah		25.31532	55.63211	AE	53079
Lahbab		25.03763	55.59135	AE	53079
Al Madam		24.97355	55.77781	AE	8652
Al Raafah		25.55073	55.68619	AE	2704
Mohammed Bin Zayed City		24.34794	54.55368	AE	85000
Masdar City		24.43208	54.61582	AE	15000
Zōr Kōṯ	Zor Kot	33.54149	69.73446	AF	0
Wulêswālī Bihsūd	Wuleswali Bihsud	34.3436	67.90567	AF	0
